Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Ignaczak L., Goldschmidt G., Da Costa C.A., Righi R.D.R.",57233734100;57212553561;34976368800;24825663800;,Text Mining in Cybersecurity: A Systematic Literature Review,2022,ACM Computing Surveys,54,7,140,,,,,10.1145/3462477,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115443527&doi=10.1145%2f3462477&partnerID=40&md5=193a4e99004769649c5645598cf3ca1e,ACM Comput Surv,Review,Final,,Scopus,2-s2.0-85115443527
"Kwasi Coffie C.P., Zhao H., Yeboah F.K., Otim Emuron A.S.",57318270500;56593840600;57318069100;57318397100;,Management principles for the appraisal and diffusion of information systems: Case of SMEs in ghana,2022,International Journal of Information Systems and Supply Chain Management,15,3,,,,,,10.4018/IJISSCM.290015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118291625&doi=10.4018%2fIJISSCM.290015&partnerID=40&md5=ab49de7d87e98273c4ffb612b7f97f79,Int. J. Inf. Syst. Supply Chain Manage.,Article,Final,,Scopus,2-s2.0-85118291625
"Song J., Li Y., Guo X., Shen K.N., Ju X.",57301827200;57216685329;24777794600;57268714100;24177752000;,Making mobile health information advice persuasive: An elaboration likelihood model perspective,2022,Journal of Organizational and End User Computing,34,4,287573,,,,,10.4018/JOEUC.287573,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115446612&doi=10.4018%2fJOEUC.287573&partnerID=40&md5=ee06542f98eb9b66f8824d7b99871d5a,J. Organ. End User Comput.,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85115446612
"Jin H., Xiao J.",57304120500;57195491071;,"Towards trustworthy blockchain systems in the era of “Internet of value”: development, challenges, and future trends",2022,Science China Information Sciences,65,5,153101,,,,,10.1007/s11432-020-3183-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117619737&doi=10.1007%2fs11432-020-3183-0&partnerID=40&md5=14e76fe128f455af1b305bdd45ac5422,Sci. China Inf. Sci.,Article,Final,,Scopus,2-s2.0-85117619737
"Zhao Y., Zhou Y.",57226184382;57223093127;,Measurement method and application of a deep learning digital economy scale based on a big data cloud platform,2022,Journal of Organizational and End User Computing,34,3,,,,,1.0,10.4018/JOEUC.20220501.oa1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110900002&doi=10.4018%2fJOEUC.20220501.oa1&partnerID=40&md5=346127a66a8bccb85d959501109b92d9,J. Organ. End User Comput.,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85110900002
"Lv P., Xiong H.",57345716400;57345257700;,Can FinTech improve corporate investment efficiency? Evidence from China,2022,Research in International Business and Finance,60,,101571,,,,,10.1016/j.ribaf.2021.101571,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119338908&doi=10.1016%2fj.ribaf.2021.101571&partnerID=40&md5=b4f24527fce184d1b507dae71e185afe,Res. Int. Bus. Financ.,Article,Final,,Scopus,2-s2.0-85119338908
"Bessghaier N., Soui M., Ghaibi N.",57201776805;36731777400;56807204400;,Towards the automatic restructuring of structural aesthetic design of Android user interfaces,2022,Computer Standards and Interfaces,81,,103598,,,,,10.1016/j.csi.2021.103598,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118839482&doi=10.1016%2fj.csi.2021.103598&partnerID=40&md5=f78901e800930176aee8161cd22604c9,Comput Stand Interfaces,Article,Final,,Scopus,2-s2.0-85118839482
"Sumarliah E., Li T., Wang B., Fauziyah F., Indriya I.",57216867000;23974937000;57295302700;57279823400;57226530624;,Blockchain-empowered halal fashion traceability system in Indonesia,2022,International Journal of Information Systems and Supply Chain Management,15,2,,,,,,10.4018/IJISSCM.287628,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116975431&doi=10.4018%2fIJISSCM.287628&partnerID=40&md5=5c77920ad16b91215f8af889a10e62a4,Int. J. Inf. Syst. Supply Chain Manage.,Article,Final,,Scopus,2-s2.0-85116975431
"Howson P., de Vries A.",56446815200;57202005921;,Preying on the poor? Opportunities and challenges for tackling the social and environmental threats of cryptocurrencies for vulnerable and low-income communities,2022,Energy Research and Social Science,84,,102394,,,,,10.1016/j.erss.2021.102394,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119200253&doi=10.1016%2fj.erss.2021.102394&partnerID=40&md5=e7b6908fda76eaeccac9de70344c65e1,Energy Res. Soc. Sci.,Short Survey,Final,,Scopus,2-s2.0-85119200253
"Huang D.-H., Chueh H.-E.",57226821111;14631678100;,Usage intention model of mobile apps in membership application,2022,Journal of Business Research,139,,,1255,1260,,,10.1016/j.jbusres.2021.10.062,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118497859&doi=10.1016%2fj.jbusres.2021.10.062&partnerID=40&md5=4b276c1bc041ecbff858714a71981b18,J. Bus. Res.,Article,Final,,Scopus,2-s2.0-85118497859
STAHL B.C.,10045088600;,Responsible innovation ecosystems: Ethical implications of the application of the ecosystem concept to artificial intelligence,2022,International Journal of Information Management,62,,102441,,,,1.0,10.1016/j.ijinfomgt.2021.102441,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117838949&doi=10.1016%2fj.ijinfomgt.2021.102441&partnerID=40&md5=3108d24c6459d5b64d2034b8a3739caf,Int J Inf Manage,Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85117838949
"Chen H., Tian Z.",57279097800;57279311900;,"Environmental uncertainty, resource orchestration and digital transformation: A fuzzy-set QCA approach",2022,Journal of Business Research,139,,,184,193,,,10.1016/j.jbusres.2021.09.048,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116063647&doi=10.1016%2fj.jbusres.2021.09.048&partnerID=40&md5=7cadcc8277e10186bf2e4edc8c6ef5e7,J. Bus. Res.,Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85116063647
