authors_raw,author_full_names,author_ids_raw,document_title_raw,year,source_title_raw,volume,issue,scopus_art_no,page_start,page_end,global_citation_count,doi,link,affiliations,authors_with_affiliations,abstract_raw,author_keywords_raw,index_keywords_raw,funding_details,funding_texts,global_references_raw,correspondence_address,editors,publisher,sponsors,conference_name,conference_date,conference_location,conference_code,issn,isbn,coden,language,source_title_abbr,document_type_raw,publication_stage,open_access,source,eid,author_ids,authors
"Chang, Y.; Wong, S.F.; Lee, H.; Jeong, S.P.","Chang, Younghoon (55557622800); Wong, Siew Fan (56871360800); Lee, Hwansoo (55271565300); Jeong, Seon Phil (55211483900)",55557622800; 56871360800; 55271565300; 55211483900,What motivates Chinese consumers to adopt FinTech services: A regulatory focus theory,2016,ACM International Conference Proceeding Series,17-19-August-2016,,2971643.0,,,33,10.1145/2971603.2971643,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988692193&doi=10.1145%2F2971603.2971643&partnerID=40&md5=fae55c4b2de797158c2c655b3a321d0f,"Beijing Normal-Hong Kong Baptist University, Zhuhai, Guangdong, China; 5 Jalan Universiti, Sunway University, Sunway City, Selangor, Malaysia; Dankook University, Seoul, Seoul, South Korea","Chang, Younghoon, Beijing Normal-Hong Kong Baptist University, Zhuhai, Guangdong, China; Wong, Siew Fan, 5 Jalan Universiti, Sunway University, Sunway City, Selangor, Malaysia; Lee, Hwansoo, Dankook University, Seoul, Seoul, South Korea; Jeong, Seon Phil, Beijing Normal-Hong Kong Baptist University, Zhuhai, Guangdong, China","FinTech is a newly emerged service that combines innovative financial services and latest mobile technology. Since this service is new, there is a lack of study that investigates consumer behavior in adopting the service. Founded on Regulatory Focus Theory, our study aims to explain two different factors that motivate the adoption of FinTech in China. We plan to collect data from university students who used Alipay and Tenpay (two of the leading FinTech companies in China). The findings from our study will be valuable to FinTech companies in strategizing and promoting usage of their services. © 2016 ACM.",Alipay; Fintech; Regulation focus theory; Security control; Tenpay; Use and gratification,Commerce; Electronic commerce; Alipay; Fintech; Regulation focus theory; Security controls; Tenpay; Use and gratification; Consumer behavior,,,"Fintech, (2016); Future of Fintech and Banking Digitally Disrupted or Reimagined, (2015); Higgins, E. Tory, Beyond pleasure and pain, American Psychologist, 52, 12, pp. 1280-1300, (1997); Lee, Angela Y., Bringing the Frame into Focus: The Influence of Regulatory Fit on Processing Fluency and Persuasion, Journal of Personality and Social Psychology, 86, 2, pp. 205-218, (2004); Brockner, Joel, Regulatory focus theory and the entrepreneurial process, Journal of Business Venturing, 19, 2, pp. 203-220, (2004); Wang, Jing, The role of regulatory focus in preference construction, Journal of Marketing Research, 43, 1, pp. 28-38, (2006); Journal of Marketing, (1982); Katz, Michael L., Network externalities, competition, and compatibility, American Economic Review, 75, 3, pp. 424-440, (1985); Suh, Bomil, The impact of customer trust and perception of security control on the acceptance of electronic commerce, International Journal of Electronic Commerce, 7, 3, pp. 135-161, (2003); Academy of Management Review, (1995)",,,Association for Computing Machinery acmhelp@acm.org,et al.; Gyeonggi MICE Bureau; Korea Tourism Organization; Korean Federation of Science and Technology Societies (KOFST); National Information Society Agency (NIA); Suwon City,"18th International Conference on Electronic Commerce, ICEC 2016",2016-08-17 through 2016-08-19,Suwon,123480.0,21531633,9781450377881; 9781450385855; 9781450314398; 9781450396387; 9781450390019; 9781450390217; 9781450348270; 9781450381963; 9781450322485; 9781450348201,,English,ACM Int. Conf. Proc. Ser.,Conference paper,Final,,Scopus,2-s2.0-84988692193,55557622800; 56871360800; 55271565300; 55211483900,Chang; Y.; Wong; S.F.; Lee; H.; Jeong; S.P.
"Jun, J.; Yeo, E.","Jun, Jooyong (57189216030); Yeo, Eunjung (57189216771)",57189216030; 57189216771,Entry of FinTech Firms and Competition in the Retail Payments Market,2016,Asia-Pacific Journal of Financial Studies,45,2,,159.0,184.0,54,10.1111/ajfs.12126,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966339680&doi=10.1111%2Fajfs.12126&partnerID=40&md5=682080cb06fba058b496cea15d999363,"Economic Research Institute, Bank of Korea, Seoul, South Korea; Chung-Ang University Business School, Seoul, South Korea","Jun, Jooyong, Economic Research Institute, Bank of Korea, Seoul, South Korea; Yeo, Eunjung, Chung-Ang University Business School, Seoul, South Korea","We investigate the effects of entry of financial technology (FinTech) based firms on competition in the retail payments market. With a model of two-sided market with vertical restraints, we derive the following results. When only the entry of a vertically integrated (or end-to-end service) provider is allowed, either all merchants opt for multi-homing or no entry occurs, regardless of the regulatory requirement. On the other hand, if the entry of a downstream-only (or front-end service) provider is allowed, a partial multi-homing equilibrium could emerge under certain conditions, in which the entry of an end-to-end service provider does not occur. Without regulation, however, the vertically integrated incumbent does not voluntarily provide the back-end service to the entrant in general. This suggests the need for proper regulatory measures to reach a socially desirable outcome from the new entry in the retail payments market. © 2016 Korean Securities Association.",End-to-end; Entry; FinTech; Front-end; Retail payment,,,,"Boom in Global Fintech Investment A New Growth Opportunity for London Technical Report, (2014); Anderson, Ross J., The economics of information security, Science, 314, 5799, pp. 610-613, (2006); Armstrong, Mark, Competition in two-sided markets, RAND Journal of Economics, 37, 3, pp. 668-691, (2006); Journal of Law and Economics, (1983); Managing Information Risk and the Economics of Security, (2009); Banks New Competitors Starbucks Google and Alibaba Harvard Business Review Online, (2014); World Payments Report 2013 Technical Report, (2013); World Payments Report 2015 Technical Report, (2015); Choi, Jay Pil, Tying in two-sided markets with multi-homing, Journal of Industrial Economics, 58, 3, pp. 607-626, (2010); Non Banks in Retail Payments, (2014)","E. Yeo; School of Business Administration, Chung-Ang University, Seoul, 84 Heukseok-Ro, Dongjak-Gu, 06974, South Korea; email: ejyeo@cau.ac.kr",,Wiley-Blackwell info@wiley.com,,,,,,20419945,,,English,Asia-Pac. J. Financ. Stud.,Article,Final,,Scopus,2-s2.0-84966339680,57189216030; 57189216771,Jun; J.; Yeo; E.
"Chen, L.","Chen, Long (55739181800)",55739181800,From Fintech to Finlife: the case of Fintech Development in China,2016,China Economic Journal,9,3,,225.0,239.0,153,10.1080/17538963.2016.1215057,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988481793&doi=10.1080%2F17538963.2016.1215057&partnerID=40&md5=123309b57ce18993509679b26c6c3819,"Institute of Internet Finance, Peking University, Beijing, China","Chen, Long, Institute of Internet Finance, Peking University, Beijing, China","The purpose of technology is not to make finance better, but to make finance serve real life better. Fintech has grown much faster in China than in the United States. In China, this success has come not from an initial technology advantage, but from integration between finance and real-life needs. This experience has important implications for understanding financial innovations, and for the development of inclusive finance. © 2016 Informa UK Limited, trading as Taylor & Francis Group.",financial inclusion; financial scenarization; Fintech,,,,"Georgetown Journal of International Law, (2015); Mckinsey Quarterly, (2010); Fcas Regulatory Approach to Crowdfunding Over the Internet and the Promotion of Non Readily Realisable Securities by Other Media, (2014); Fintech 100 Leading Global Fintech Innovators Report 2015, (2015); Journal of Financial Perspectives, (2015); Global Financial Inclusion, (2010); China Payment and Settlement System Development Report, (2015); Does the Fintech Industry Need A New Risk Management Philosophy A Sequential Blockchain Based Typology for Virtual Currencies and E Money Services in Luxembourg, (2016); Rajan, Raghuram G., What Do We Know about Capital Structure? Some Evidence from International Data, Journal of Finance, 50, 5, pp. 1421-1460, (1995); Rajan, Raghuram G., The influence of the financial revolution on the nature of firms, American Economic Review, 91, 2, pp. 206-211, (2001)","L. Chen; Cheung Kong Graduate School of Business, and Institute of Internet Finance, Peking University, China; email: lchen@ckgsb.edu.cn",,Routledge info@tandf.co.uk,,,,,,17538963,,,English,China Econ. J.,Article,Final,,Scopus,2-s2.0-84988481793,55739181800,Chen; L.
"Romānova, I.; Kudinska, M.","Romānova, Inna (57191851238); Kudinska, Marina (57190119984)",57191851238; 57190119984,Banking and fintech: A challenge or opportunity?,2016,Contemporary Studies in Economic and Financial Analysis,98,,,21.0,35.0,163,10.1108/S1569-375920160000098002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994193546&doi=10.1108%2FS1569-375920160000098002&partnerID=40&md5=82d81895c00a4e7d2d925ff696018f98,"Faculty of Economics and Management, Latvijas Universitāte, Riga, Latvia; Finance Department, Latvijas Universitāte, Riga, Latvia","Romānova, Inna, Faculty of Economics and Management, Latvijas Universitāte, Riga, Latvia; Kudinska, Marina, Finance Department, Latvijas Universitāte, Riga, Latvia","Global economy, growing importance of innovations as well as wide use of technologies have changed the banking business worldwide. Financial technologies (FinTech) have become an integral part of banking, and nowadays banks have started to compete beyond financial services facing increasing competition from nonfinancial institutions providing, for example, payment services. Start-up service providers, search engines, and social networks have expanded their services ""interfering"" in the fields traditionally covered by banks. The rapid rise of FinTech has changed the business landscape in banking asking for more innovative solutions. These recent tendencies require the banks to increase investment in FinTech, rethink service distribution channels, especially the business-to-consumers models, increase further standardization of backoffice functions, etc. Some members of the financial services industry see the boom in FinTech as a threat to traditional banking industry. Others believe that FinTech has become a challenge that can be turned into an opportunity as it provides more flexibility, better functionality in some areas, and aggregation of services. The aim of the paper is to analyze the recent trends in banking, identifying opportunities and risks of FinTech for banks. A timely integration of FinTech into business allows banks to get an advantage in growing competition. This paper provides an extensive analysis of recent trends in FinTech and banking, examining experience of leading European and US banks, as well as surveys conducted among members of the financial services industry in different countries. The authors have studied the development of the financial innovation and technology market, assessed the existing practices applied in the field of FinTech, identified the main risks related to development of FinTech and financial innovations the banks are exposed to on the micro- and macrolevel. The paper provides recommendations for regulators and banks to ensure reduction of risks associated with development of FinTech. Analysis of FinTech market has shown growing competition, including from nonfinancial institutions. The paper provides practical recommendations to commercial banks for strengthening the position in financial innovations and controlling the risks associated with introduction of financial innovations. © © 2017 by Emerald Group Publishing Limited all Rights of Reproduction in Any form Reserved.",Banking innovations; FinTech; Risks,,,,"undefined; undefined; Alt, Rainer, The rise of customer-oriented banking - Electronic markets are paving the way for change in the financial industry, Electronic Markets, 22, 4, pp. 203-215, (2012); Evolution of Fintech A New Post Crisis Paradigm, (2015); American Banker; Deutsche Bank Research, (2014); undefined; undefined, (2015); undefined; Kpmg",,,"Emerald Group Publishing Ltd. Howard House Wagon Lane, Bingley BD16 1WA",,,,,,15693759,076231270X; 9781783508174; 0762309792; 9780762314638; 9780762312580; 0762313641; 0762314575; 9780762312702; 9780762314577; 9780762309795,,English,Contemp. Stud. Econ. Financ. Anal.,Conference paper,Final,,Scopus,2-s2.0-84994193546,57191851238; 57190119984,Romānova; I.; Kudinska; M.
"Hung, J.-L.; Luo, B.","Hung, Juilong (36713432700); Luo, Binjie (57205063387)",36713432700; 57205063387,FinTech in Taiwan: a case study of a Bank’s strategic planning for an investment in a FinTech company,2016,Financial Innovation,2,1,15.0,,,70,10.1186/s40854-016-0037-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058395789&doi=10.1186%2Fs40854-016-0037-6&partnerID=40&md5=b7322571a92154c878729374669b41ca,"Boise State University, Boise, ID, United States; Agricultural Bank of China, Beijing, China","Hung, Juilong, Boise State University, Boise, ID, United States; Luo, Binjie, Agricultural Bank of China, Beijing, China","Introduction: Since 2015 is the year of FinTech in Taiwan, it is worth investigating the challenges that emerged when banks were encouraged to invest in FinTech companies for collaboration. This study aims to identify the strategic considerations in the process of searching for FinTech investment targets. Case description: This study used a case study investigation of a top-5 bank in Taiwan. The major data sources include the meeting notes of the FinTech investment task force and interviews with the team members. Co-opetition theory was adopted as the theoretical framework and interview questions were derived from the PARTS strategies in co-petition theory. The results relate to: (1) the strategic goals of FinTech investment, (2) the added value from FinTech companies, (3) criteria in selecting candidates in the same FinTech area, (4) choosing to work as either a cooperator or a competitor, and (5) barriers from policies and regulations. Discussion and evaluation: This study has several findings: (1) regulations and policies shape FinTech’s development; (2) banks, technology companies, and customers are not “FinTech ready;” (3) Compare top-down with bottom up strategies; (4) banks and FinTech companies have complex relationships; (5) it is unlikely that Taiwan will produce FinTech disruptors in the near future. Conclusion: The findings and discussion can benefit researchers and administrators in finance-related industries. More studies are desired to observe long-term development in terms of how companies collaborate or compete in specific FinTech areas. © 2016, The Author(s).",Bank 3.0; Co-opetition Theory; FinTech; Investment in FinTech; PARTS; Taiwan bank industry; Taiwan FinTech Industry,,Total,"• Financial Research and Data (79 startups, 824 M total funding)","Global Fintech Investment Growth Continues in 2016 Driven by Europe and Asia, (2016); Benbasat, Izak, The case research strategy in studies of information systems, MIS Quarterly: Management Information Systems, 11, 3, pp. 369-386, (1987); Co Opetition, (1996); Cavaye, Angèle L.M., Case study research: A multi-faceted research approach for IS, Information Systems Journal, 6, 3, pp. 227-242, (1996); Econ Res, (2011); Financial Supervisory Committee Big Data Project, (2015); Construct Digital Finance Environments, (2015); Act Governing Electronic Payment Institutions, (2015); Regulations of Bank and Financial Holding Company Investing Fintech Firms, (2015); Regulations of Industry of Information Service and Industry of Finance Technology Determined by the Competent Authority as Finance Related Industry, (2015)","J.-L. Hung; Boise State University, Boise, United States; email: andyhung@boisestate.edu",,SpringerOpen,,,,,,,,,English,Financial Innov.,Article,Final,All Open Access; Gold Open Access; Green Final Open Access; Green Open Access,Scopus,2-s2.0-85058395789,36713432700; 57205063387,Hung; J.-L.; Luo; B.
"Zavolokina, L.; Dolata, M.; Schwabe, G.","Zavolokina, Liudmila (57193154298); Dolata, Mateusz (55085557500); Schwabe, Gerhard (8564379000)",57193154298; 55085557500; 8564379000,The FinTech phenomenon: antecedents of financial innovation perceived by the popular press,2016,Financial Innovation,2,1,16.0,,,175,10.1186/s40854-016-0036-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054082877&doi=10.1186%2Fs40854-016-0036-7&partnerID=40&md5=68db1a845cc58100ed13d9e17fddcdea,"Department of Informatics, Universität Zürich, Zurich, ZH, Switzerland","Zavolokina, Liudmila, Department of Informatics, Universität Zürich, Zurich, ZH, Switzerland; Dolata, Mateusz, Department of Informatics, Universität Zürich, Zurich, ZH, Switzerland; Schwabe, Gerhard, Department of Informatics, Universität Zürich, Zurich, ZH, Switzerland","The financial industry has been strongly influenced by digitalization in the past few years reflected by the emergence of “FinTech,” which represents the marriage of “finance” and “information technology.” FinTech provides opportunities for the creation of new services and business models and poses challenges to traditional financial service providers. Therefore, FinTech has become a subject of debate among practitioners, investors, and researchers and is highly visible in the popular media. In this study, we unveil the drivers motivating the FinTech phenomenon perceived by the English and German popular press including the subjects discussed in the context of FinTech. This study is the first one to reflect the media perspective on the FinTech phenomenon in the research. In doing so, we extend the growing knowledge on FinTech and contribute to a common understanding in the financial and digital innovation literature. These study contributes to research in the areas of information systems, finance and interdisciplinary social sciences. Moreover, it brings value to practitioners (entrepreneurs, investors, regulators, etc.), who explore the field of FinTech. © 2016, The Author(s).",Content analysis; Digitalization; FinTech; Innovation; Popular press,,,,"Bbva Research, (2015); Cukier, Wendy L., Applying Habermas' validity claims as a standard for critical discourse analysis, IFIP Advances in Information and Communication Technology, 143, pp. 233-257, (2004); Cukier, Wendy L., A critical analysis of media discourse on information technology: Preliminary results of a proposed method for critical discourse analysis, Information Systems Journal, 19, 2, pp. 175-196, (2009); Deutsche Bank Research, (2014); undefined, (2016); Fichman, Robert G., Digital innovation as a fundamental and powerful concept in the information systems curriculum, MIS Quarterly: Management Information Systems, 38, 2, pp. 329-353, (2014); Finkel, Jenny Rose, Incorporating non-local information into information extraction systems by Gibbs sampling, pp. 363-370, (2005); Frame, W. Scott, Empirical studies of financial innovation: Lots of talk, little action?, Journal of Economic Literature, 42, 1, pp. 116-144, (2004); Oxford Handbook of Banking, (2014); International Media Newspapers, (2015)","L. Zavolokina; Department of Informatics, University of Zurich, Zurich, 8050, Switzerland; email: zavolokina@ifi.uzh.ch",,SpringerOpen,,,,,,,,,English,Financial Innov.,Review,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85054082877,57193154298; 55085557500; 8564379000,Zavolokina; L.; Dolata; M.; Schwabe; G.
"Kotarba, M.","Kotarba, Marcin (57189496188)",57189496188,New factors inducing changes in the retail banking customer relationship management (CRM) and their exploration by the FinTech industry,2016,Foundations of Management,8,1,,69.0,78.0,58,10.1515/fman-2016-0006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971472880&doi=10.1515%2Ffman-2016-0006&partnerID=40&md5=8ab590ad8cbe49f9358ca5c2a26e0416,"Faculty of Management, Politechnika Warszawska, Warsaw, MA, Poland","Kotarba, Marcin, Faculty of Management, Politechnika Warszawska, Warsaw, MA, Poland","Growing levels of regulation force financial institutions to change their business models toward lower risk levels, higher capital adequacy, service quality, and more stable revenue pools. In parallel with the regulatory changes, the banks are subject to pressure from accelerated technology development and social changes. These two factors influence the behavior of customers and induce changes in the customer relationship management (CRM). Taking the example of retail banking, the factors and their impacts are explained. Additionally, a view on the FinTech industry is presented, highlighting areas where traditional financial institutions are losing market share to technology-savvy and socially oriented new ventures with exceptional CRM capabilities. The conclusion contains proposed strategic actions that need to be undertaken in order to prepare the financial services industry for managing customer relationships in the increasingly technosocial environment. © 2016. Faculty of Management, Warsaw University of Technology 2016.",banking regulation; client behavior; customer journey; customer relationship management; financial institution strategy; FinTech; omni-channel; process management; retail banking; social empowerment; technological progress,,,,"Basel Committee S Publication Types, (2015); W Centrum Uwagi Doswiadczenia Klienta W Kontakcie Z Marka, (2014); Ecb Banking Supervision Ssm Priorities 2016, (2016); Payment Services Directive Faq Online, (2015); Directive on Payment Services Psd, (2015); Investment Services and Regulated Markets Mifid 1 Mi Fid 2, (2015); Esma Policy Rules, (2015); State of Digital Business 2014 Online, (2015); Technology Driving Innovation What is the Internet of Things Online, (2014); Total Number of Websites, (2016)","M. Kotarba; Warsaw University of Technology, Faculty of Management, Warsaw, Poland; email: marcin@kotarba.pl",,De Gruyter Open Ltd peter.golla@degruyter.com,,,,,,20807279,,,English,Found. Manag.,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-84971472880,57189496188,Kotarba; M.
"Kumagai, K.; Tsuji, S.; Omori, H.","Kumagai, Kiyoshi (56192912200); Tsuji, Satomi (24559431600); Omori, Hisanaga (57188740281)",56192912200; 24559431600; 57188740281,Utilization of AI in the financial sector: Case study and outlook for FinTech era,2016,Hitachi Review,65,6,,123.0,127.0,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978370420&partnerID=40&md5=0cc418d3d03d8dbb0f4865e932aca8e8,"Global Center for Social Innovation - Tokyo, Hitachi, Ltd., Tokyo, Japan; Financial Information Systems Division, Hitachi, Ltd., Tokyo, Japan","Kumagai, Kiyoshi, Global Center for Social Innovation - Tokyo, Hitachi, Ltd., Tokyo, Japan; Tsuji, Satomi, Global Center for Social Innovation - Tokyo, Hitachi, Ltd., Tokyo, Japan; Omori, Hisanaga, Financial Information Systems Division, Hitachi, Ltd., Tokyo, Japan","OVERVIEW: A succession of new user-oriented services combining finance and IT have been appearing recently. Known as FinTech, these services influence competitive advantage for their ability to create innovation beyond the framework of conventional financial services. Acting as an enabler for creating innovation, Hitachi is taking a close look at AI, and working on its utilization in the financial sector. This article looks at phenomena such as FinTech and the IoT as precursors of changes in the financial industry. It discusses how AI is being used in the financial industry through activities designed to raise management KPIs by quantitatively evaluating organizational activity levels from action data acquired from wearable terminals. The article also describes the future outlook for AI use by examining concepts such as the development of business applications that use embedded AI.",,,,,"Fintech Revolution, (2015); Transactions of the Institute of Electronics Information and Communication Engineers, (2013); Yano, Kazuo, Measuring happiness using wearable technology:Technology for boosting productivity in knowledge work and service businesses, Hitachi Review, 64, 8, pp. 517-524, (2015); Invisible Hand of Data the Rule for People Organizations and Society Uncovered by Wearable Sensors, (2014)",,,Hitachi Ltd.,,,,,,0018277X,,HITAA,English,Hitachi Rev.,Article,Final,,Scopus,2-s2.0-84978370420,56192912200; 24559431600; 57188740281,Kumagai; K.; Tsuji; S.; Omori; H.
"Mesfin, M.F.; Ghinea, G.; Atnafu, S.; Grønli, T.-M.","Mesfin, Woldmariam F. (55646894700); Ghinea, Gheorghita (35616295700); Atnafu, Solomon (6507393366); Grønli, Tor Morten (26027922400)",55646894700; 35616295700; 6507393366; 26027922400,Monetary Practices of Traditional Rural Communities in Ethiopia: Implications for New Financial Technology Design,2016,Human-Computer Interaction,31,6,,473.0,517.0,9,10.1080/07370024.2016.1139461,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964546343&doi=10.1080%2F07370024.2016.1139461&partnerID=40&md5=3247f15c2fc5edd48edc1dead7cadfa6,"Addis Ababa University, Addis Ababa, Ethiopia; Brunel University London, Uxbridge, Middlesex, United Kingdom; Westerdals Oslo ACT, Oslo, Oslo, Norway","Mesfin, Woldmariam F., Addis Ababa University, Addis Ababa, Ethiopia; Ghinea, Gheorghita, Brunel University London, Uxbridge, Middlesex, United Kingdom, Westerdals Oslo ACT, Oslo, Oslo, Norway; Atnafu, Solomon, Addis Ababa University, Addis Ababa, Ethiopia; Grønli, Tor Morten, Westerdals Oslo ACT, Oslo, Oslo, Norway","With the development of ubiquitous technologies that support the digitization of money, research is needed on how individuals’ private life practices are affected by new technological financial systems and how cash-based practices can inform their design. In this article, we report the cash-based monetary practices of one Ethiopian rural community and identify their implications for the design of new financial technology. Particularly, we focus on addressing the question, What characteristic features should go into the design of mobile money application(s) to embody a rural Ethiopian community’s money practices in social (marriage and death) and religious contexts? Primary data on everyday practices of the community were collected. Analysis of our data reveals that new financial technology design should support lived experiences such as embedded social meaning, segregated and aggregate money control, restricted money use, identity extension and hiding, refusal and acceptance of donations, disclosed and secret money practices, and assigning aesthetics to money. The article concludes by discussing possible ways of mapping these concepts into financial system design, thus contributing toward the development of cashless transactions and a cashless society. © © 2016 Taylor & Francis Group, LLC.",,Human computer interaction; User interfaces; Ethiopia; Financial system; Primary data; Rural community; Technology designs; Ubiquitous technology; Finance,,,"Aaker, Jennifer Lynn, Why do people give? The role of identity in giving, Journal of Consumer Psychology, 19, 3, pp. 267-270, (2009); Proceedings of the Chi 2014 Conference on Human Factors in Computer Systems, (2014); Bell, Genevieve, No more SMS from Jesus: Ubicomp, religion and techno-spiritual practices, Lecture Notes in Computer Science, 4206 LNCS, pp. 141-158, (2006); Ben-David, Yahel, Computing security in the developing world: A case for multidisciplinary research, pp. 39-44, (2011); Berg, Sara, Mobile phones for the next generation: Device designs for teenagers, Conference on Human Factors in Computing Systems - Proceedings, pp. 433-440, (2003); Besley, Timothy J., The economics of rotating savings and credit associations, American Economic Review, 83, 4, pp. 792-810, (1993); Faceted Id Entity Managing Representation in A Digital World, (2002); What is Money Proceedings of the Msccc 2004 Conference on Mid South College Computing, (2004); Carrier, James G., Gifts, commodities, and social relations: A Maussian view of exchange, Sociological Forum, 6, 1, pp. 119-136, (1991); Gifts and Commodities Exchange and Western Capitalism Since 1700, (1995)",,,"Taylor and Francis Inc. 325 Chestnut St, Suite 800 Philadelphia PA 19106",,,,,,07370024,9780124058651,HCINE,English,Hum Comput Interact,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-84964546343,55646894700; 35616295700; 6507393366; 26027922400,Mesfin; M.F.; Ghinea; G.; Atnafu; S.; Grønli; T.-M.
"Kim, Y.; Choi, J.; Park, Y.-J.; Yeon, J.","Kim, Yonghee (56883629100); Choi, Jeongil (56126659900); Park, Youngju (57148922900); Yeon, Jiyoung (57150401700)",56883629100; 56126659900; 57148922900; 57150401700,The adoption of mobile payment services for “fintech”,2016,International Journal of Applied Engineering Research,11,2,,1058.0,1061.0,165,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959530641&partnerID=40&md5=01ffedcecd6b6f0ccc874643fa172510,"Graduate School of Business, Soongsil University, Seoul, South Korea; College of Business Administration, Soongsil University, Seoul, South Korea; Division of Tourism, Baekseok University, Cheonan, Chungcheongnam-do, South Korea","Kim, Yonghee, Graduate School of Business, Soongsil University, Seoul, South Korea; Choi, Jeongil, College of Business Administration, Soongsil University, Seoul, South Korea; Park, Youngju, Graduate School of Business, Soongsil University, Seoul, South Korea; Yeon, Jiyoung, Division of Tourism, Baekseok University, Cheonan, Chungcheongnam-do, South Korea","This paper examined the acceptance of payment-type Fintech services of users by utilizing the Elaboration Likelihood Model by Petty and Cacioppo [1] and by applying variables associated with the Technology Acceptance Model. In addition, it analyzed the causal relationship between concern for information privacy and self-efficacy by adopting them as moderating variables. Results suggested that usefulness, ease of use and credibility had an effect on intention to use, and self-efficacy was found to have an moderating effect on independent and dependent variables. Further, concern for information privacy was found to be a factor obstructing the path to intention to use. The implications of this study are that in the promotion of payment-type Fintech services, convenience and usefulness are the most critical and influential variables in terms of usage, while government deregulation and stronger security are called for from an institutional aspect. © Research India Publications.",Elaboration likelihood model; Fintech; K pay; Mobile payment service,,,,"Communication and Persuasion Central and Peripheral Routes to Attitude Change, (1986); Davis, Fred D., Perceived usefulness, perceived ease of use, and user acceptance of information technology, MIS Quarterly: Management Information Systems, 13, 3, pp. 319-339, (1989); Financial Terminology Dictionary, (2015); Schierz, Paul Gerhardt, Understanding consumer acceptance of mobile payment services: An empirical analysis, Electronic Commerce Research and Applications, 9, 3, pp. 209-216, (2010); Journal of Korean Association of Computer Education, (2015); Bhattacherjee, Anol, Influence processes for information technology acceptance: An elaboration likelihood model, MIS Quarterly: Management Information Systems, 30, 4, pp. 805-825, (2006); Korean Journal of Information Technology Services, (2015); Journal of Society for E Business Studies, (2011); Information Technology and Management, (2000); Information Systems Review, (2007)",,,Research India Publications subscription@ripublication.com,,,,,,09734562,,,English,Int. J. Appl. Eng. Res.,Article,Final,,Scopus,2-s2.0-84959530641,56883629100; 56126659900; 57148922900; 57150401700,Kim; Y.; Choi; J.; Park; Y.-J.; Yeon; J.
