Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Funding Text 1,Funding Text 2,Funding Text 3,Funding Text 4,Funding Text 5,Funding Text 6,Funding Text 7,Funding Text 8,Funding Text 9,Funding Text 10,Correspondence Address,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Yu M., Tsai F.-S., Jin H., Zhang H.","57210157447;36832308800;57216769017;57210159193;","Digital finance and renewable energy consumption: evidence from China",2022,"Financial Innovation","8","1","58","","",,,"10.1186/s40854-022-00362-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129772822&doi=10.1186%2fs40854-022-00362-5&partnerID=40&md5=44fbadb963665bfee7be2774ea2773d1","College of Economics, Zhejiang University of Technology, Hangzhou, 310032, China; College of Economics and Management, Changzhou Institute of Technology, Changzhou, 213032, China; North China University of Water Resources and Electric Power, Zhengzhou, China; Department of Business Administration, Cheng Shiu University (CSU), No. 840, Chengcing Rd., Niaosong District, Kaohsiung, Taiwan; Center for Environmental Toxin and Emerging-Contaminant Research, CSU, Kaohsiung, Taiwan; Super Micro Mass Research and Technology Center, CSU, Kaohsiung, Taiwan; School of Economics and Management, Zhejiang Sci-Tech University, Hangzhou, China","Yu, M., College of Economics, Zhejiang University of Technology, Hangzhou, 310032, China, College of Economics and Management, Changzhou Institute of Technology, Changzhou, 213032, China; Tsai, F.-S., North China University of Water Resources and Electric Power, Zhengzhou, China, Department of Business Administration, Cheng Shiu University (CSU), No. 840, Chengcing Rd., Niaosong District, Kaohsiung, Taiwan, Center for Environmental Toxin and Emerging-Contaminant Research, CSU, Kaohsiung, Taiwan, Super Micro Mass Research and Technology Center, CSU, Kaohsiung, Taiwan; Jin, H., School of Economics and Management, Zhejiang Sci-Tech University, Hangzhou, China; Zhang, H., College of Economics, Zhejiang University of Technology, Hangzhou, 310032, China","Developing economy; Digital finance; Renewable energy consumption; Two-way fixed effects model",,"The Project of Philosophy and Social Science Research of Universities in Jiangsu Province (2021SJA1269), the Major Program Project of the National Social Science Fund of China (No: 19ZDA055), Zhejiang Provincial Natural Science Foundation of China (Q22G037055), Major projects of Humanities and Social Sciences in Zhejiang Province (21096054-F), and Zhejiang Sci-Tech University Scientific Research Fund (No: 21092117-Y).","Fu-Sheng Tsai acknowledges a (visiting) distinguished professorship from the NCUWREP.",,,,,,,,,"Zhang, H.; College of Economics, China; email: hzzhj@zjut.edu.cn
Tsai, F.-S.; North China University of Water Resources and Electric PowerChina; email: tsaifs@gcloud.csu.edu.tw","Springer Science and Business Media Deutschland GmbH",21994730,,,,"English","Financial Innov.",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85129772822
"Carbó-Valverde S., Cuadros-Solas P.J., Rodríguez-Fernández F.","8454676000;57194188089;16403431800;","Entrepreneurial, institutional and financial strategies for FinTech profitability",2022,"Financial Innovation","8","1","15","","",,,"10.1186/s40854-021-00325-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124836195&doi=10.1186%2fs40854-021-00325-2&partnerID=40&md5=3e4360909c956809b301df34df376ab8","University of Granada, C/Campus Cartuja s/n, Granada, 18011, Spain; CUNEF Universidad, C/ Pirineos, 55, Madrid, 28040, Spain; Funcas, C/ Caballero de Gracia, 28, Madrid, 28013, Spain","Carbó-Valverde, S., University of Granada, C/Campus Cartuja s/n, Granada, 18011, Spain, Funcas, C/ Caballero de Gracia, 28, Madrid, 28013, Spain; Cuadros-Solas, P.J., CUNEF Universidad, C/ Pirineos, 55, Madrid, 28040, Spain, Funcas, C/ Caballero de Gracia, 28, Madrid, 28013, Spain; Rodríguez-Fernández, F., University of Granada, C/Campus Cartuja s/n, Granada, 18011, Spain, Funcas, C/ Caballero de Gracia, 28, Madrid, 28013, Spain","Entrepreneurship; Financial strategies; FinTech; Profitability; Startups; Technology",,"We acknowledge John J. Vastola for helpful discussions. This work was supported by a National Science Foundation, United States, Grant DMS1562078 (to WRH) and a Natural Sciences and Engineering Research Council of Canada (NSERC) Postdoctoral Fellowship Award (to CZ).",,,,,,,,,,"Cuadros-Solas, P.J.; CUNEF Universidad, C/ Pirineos, 55, Spain; email: pedro.cuadros@cunef.edu","Springer Science and Business Media Deutschland GmbH",21994730,,,,"English","Financial Innov.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85124836195
"Muganyi T., Yan L., Yin Y., Sun H., Gong X., Taghizadeh-Hesary F.","57211924905;57218104231;56779331500;56645203200;57439248400;56291956400;","Fintech, regtech, and financial development: evidence from China",2022,"Financial Innovation","8","1","29","","",,2,"10.1186/s40854-021-00313-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124046905&doi=10.1186%2fs40854-021-00313-6&partnerID=40&md5=36d5bf78dc8b28a8ba5d6675602015e8","School of Economics, Shanghai University, Shanghai, 200240, China; School of Economics and Management, Hebei University of Technology, Tianjin, 300401, China; School of Finance and Economics, Division of Low-carbon Economy and Environment Regulation, Institute of Industrial Economics, Jiangsu University, Jiangsu, Zhenjiang, 212013, China; School of Economics and Management, Tongji University, Shanghai, China; Tokai University, 4-1-1 Kitakaname, Kanagawa, Hiratsuka-shi, 259-1292, Japan","Muganyi, T., School of Economics, Shanghai University, Shanghai, 200240, China; Yan, L., School of Economics, Shanghai University, Shanghai, 200240, China; Yin, Y., School of Economics, Shanghai University, Shanghai, 200240, China; Sun, H., School of Economics and Management, Hebei University of Technology, Tianjin, 300401, China, School of Finance and Economics, Division of Low-carbon Economy and Environment Regulation, Institute of Industrial Economics, Jiangsu University, Jiangsu, Zhenjiang, 212013, China; Gong, X., School of Economics and Management, Tongji University, Shanghai, China; Taghizadeh-Hesary, F., Tokai University, 4-1-1 Kitakaname, Kanagawa, Hiratsuka-shi, 259-1292, Japan","China; Financial development; Fintech; Regtech",,"The financial assistance provided by the National Natural Science Foundation of China (71774071), the National Statistical Science Research Project (2021LY055); Jiangsu Soft Science Research Project (BR2021030); Zhenjiang Soft Science Research Project (RK2021010); and the Key Academic Research Project of Jiaxing University (ICCPR2021007) is highly appreciated by researchers of this study.",,,,,,,,,,"Sun, H.; School of Economics and Management, China; email: shp797@163.com
Taghizadeh-Hesary, F.; Tokai University, 4-1-1 Kitakaname, Kanagawa, Japan; email: farhad@tsc.u-tokai.ac.jp","Springer Science and Business Media Deutschland GmbH",21994730,,,,"English","Financial Innov.",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85124046905
"Ahmed S., Alshater M.M., Ammari A.E., Hammami H.","57696031700;57219218652;57665541800;10143556900;","Artificial intelligence and machine learning in finance: A bibliometric review",2022,"Research in International Business and Finance","61",,"101646","","",,,"10.1016/j.ribaf.2022.101646","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129376013&doi=10.1016%2fj.ribaf.2022.101646&partnerID=40&md5=17544d7375b53b258239d968eba783c2","FinArchitect Australia Pte Ltd, Sydney, Australia; Faculty of Business, Emirates College of Technology, Abu Dhabi, United Arab Emirates; University of Monastir, Mahdia, 5111, Tunisia; Rennes School of Business, Rennes, France","Ahmed, S., FinArchitect Australia Pte Ltd, Sydney, Australia; Alshater, M.M., Faculty of Business, Emirates College of Technology, Abu Dhabi, United Arab Emirates; Ammari, A.E., University of Monastir, Mahdia, 5111, Tunisia; Hammami, H., Rennes School of Business, Rennes, France","Artificial intelligence; Bibliometric; Finance; Machine learning",,,,,,,,,,,,"Ahmed, S.; FinArchitect Australia Pte LtdAustralia; email: Shamima.Ahmed011@gmail.com","Elsevier Ltd",02755319,,,,"English","Res. Int. Bus. Financ.",Article,"Final","",Scopus,2-s2.0-85129376013
"Karim S., Naz F., Naeem M.A., Vigne S.A.","57213153629;56375536200;57200035580;57192552903;","Is FinTech providing effective solutions to Small and Medium Enterprises (SMEs) in ASEAN countries?",2022,"Economic Analysis and Policy","75",,,"335","344",,,"10.1016/j.eap.2022.05.019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132216662&doi=10.1016%2fj.eap.2022.05.019&partnerID=40&md5=d302b56104424e8bde35397bf412acf1","Nottingham University Business School, University of Nottingham Malaysia Campus, Semenyih, Malaysia; Department of Accounting and Finance, Kinnaird College for Women, Lahore, Pakistan; Accounting and Finance Department, United Arab Emirates University, P.O. Box 15551, Al-Ain, United Arab Emirates; South Ural State University, Chelyabinsk, Russian Federation; Luiss Business School, Luiss University, Rome, Italy","Karim, S., Nottingham University Business School, University of Nottingham Malaysia Campus, Semenyih, Malaysia; Naz, F., Department of Accounting and Finance, Kinnaird College for Women, Lahore, Pakistan; Naeem, M.A., Accounting and Finance Department, United Arab Emirates University, P.O. Box 15551, Al-Ain, United Arab Emirates, South Ural State University, Chelyabinsk, Russian Federation; Vigne, S.A., Luiss Business School, Luiss University, Rome, Italy","ASEAN countries; COVID-19; Factor analysis; FinTech; Small and medium-sized enterprises",,"The authors would like to gratefully acknowledge the constructive comments from Editors, Clevo Wilson, Farhad Taghizadeh-Hesary, and Reviewers of Economic Analysis and Policy that significantly improved the quality of our paper.",,,,,,,,,,"Naeem, M.A.; Accounting and Finance Department, P.O. Box 15551, United Arab Emirates; email: muhammad.naeem@uaeu.ac.ae","Elsevier B.V.",03135926,,,,"English","Econ. Anal. Policy",Article,"Final","",Scopus,2-s2.0-85132216662
"Rodrigues J.F.C., Ferreira F.A.F., Pereira L.F., Carayannis E.G., Ferreira J.J.M.","57753248900;37115389700;56890359100;7006225155;25959981800;","Banking Digitalization: (Re)Thinking Strategies and Trends Using Problem Structuring Methods",2022,"IEEE Transactions on Engineering Management","69","4",,"1517","1531",,5,"10.1109/TEM.2020.2993171","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132340413&doi=10.1109%2fTEM.2020.2993171&partnerID=40&md5=3998910597eec015c4520ef374602b94","University Institute of Lisbon, Avenida das Forças Armadas, Iscte Business School, Lisbon, 1649-026, Portugal; University Institute of Lisbon, Avenida das Forças Armadas, Iscte Business School, BRU-IUL, Lisbon, 1649-026, Portugal; University of Memphis, Fogelman College of Business and Economics, Memphis, TN  38152-3120, United States; George Washington University School of Business, Department of Information Systems and Technology Management, Washington, DC  20052, United States; University of Beira Interior, Estrada Do Sineiro, Nece Research Unit, Covilhã, 6200-209, Portugal","Rodrigues, J.F.C., University Institute of Lisbon, Avenida das Forças Armadas, Iscte Business School, Lisbon, 1649-026, Portugal; Ferreira, F.A.F., University Institute of Lisbon, Avenida das Forças Armadas, Iscte Business School, BRU-IUL, Lisbon, 1649-026, Portugal, University of Memphis, Fogelman College of Business and Economics, Memphis, TN  38152-3120, United States; Pereira, L.F., University Institute of Lisbon, Avenida das Forças Armadas, Iscte Business School, Lisbon, 1649-026, Portugal; Carayannis, E.G., George Washington University School of Business, Department of Information Systems and Technology Management, Washington, DC  20052, United States; Ferreira, J.J.M., University of Beira Interior, Estrada Do Sineiro, Nece Research Unit, Covilhã, 6200-209, Portugal","Banking digitization; digital transformation; fuzzy cognitive mapping; problem structuring methods; system dynamics",,,,,,,,,,,,"Ferreira, J.J.M.; University of Beira Interior, Portugal; email: jjmf@ubi.pt","Institute of Electrical and Electronics Engineers Inc.",00189391,,IEEMA,,"English","IEEE Trans Eng Manage",Article,"Final","",Scopus,2-s2.0-85132340413
"Sánchez M.A.","54390028500;","A multi-level perspective on financial technology transitions",2022,"Technological Forecasting and Social Change","181",,"121766","","",,,"10.1016/j.techfore.2022.121766","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131044642&doi=10.1016%2fj.techfore.2022.121766&partnerID=40&md5=76bf475b34ba96266d9ae6b75862fd05","Dpto. de Ciencias de la Administración, Universidad Nacional del Sur, Bahía Blanca, Argentina","Sánchez, M.A., Dpto. de Ciencias de la Administración, Universidad Nacional del Sur, Bahía Blanca, Argentina","Business models, digital platforms; Financial technology; Fintech; Multi-level perspective; Socio-technical transitions","Business model, digital platform; Business models; Digital platforms; Financial service; Market regulation; Model-driven; Multi-level perspective; Multilevels; Socio-technical transitions; Technology transition; Finance; business development; financial market; financial services; future prospect; innovation","We thank two anonymous referees for their generous comments on previous versions of this article. This work was supported by Secretaría de Ciencia y Tecnología ( Universidad Nacional del Sur ) under Grant number 24/C055 .",,,,,,,,,,,"Elsevier Inc.",00401625,,,,"English","Technol. Forecast. Soc. Change",Article,"Final","",Scopus,2-s2.0-85131044642
"Luo S., Sun Y., Zhou R.","57188661690;57222245577;57383720800;","Can fintech innovation promote household consumption? Evidence from China family panel studies",2022,"International Review of Financial Analysis","82",,"102137","","",,,"10.1016/j.irfa.2022.102137","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128229248&doi=10.1016%2fj.irfa.2022.102137&partnerID=40&md5=0d1b9735fc0fcbe72367611fba7ddd5c","School of Finance, Shanghai University of Finance and Economics, Shanghai, 200433, China; School of Economics, Fudan University, Shanghai, 200433, China","Luo, S., School of Finance, Shanghai University of Finance and Economics, Shanghai, 200433, China; Sun, Y., School of Economics, Fudan University, Shanghai, 200433, China; Zhou, R., School of Economics, Fudan University, Shanghai, 200433, China","Digital finance; Entrepreneurship; Fintech innovation; Household consumption; Inclusive growth",,"This paper is supported by the Major Program of the National Social Science Foundation of China (Grant No. 21&ZD117 ).",,,,,,,,,,"Zhou, R.; School of Economics, China; email: zhourui@sina.cn","Elsevier Inc.",10575219,,,,"English","Int. Rev. Financ. Anal.",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85128229248
"Siering M.","55073684900;","Explainability and fairness of RegTech for regulatory enforcement: Automated monitoring of consumer complaints",2022,"Decision Support Systems","158",,"113782","","",,,"10.1016/j.dss.2022.113782","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127476572&doi=10.1016%2fj.dss.2022.113782&partnerID=40&md5=0a7d8adc20ad12f0b8cfbf195c117901","Goethe University Frankfurt, Theodor-W.-Adorno-Platz 4, Frankfurt, 60323, Germany","Siering, M., Goethe University Frankfurt, Theodor-W.-Adorno-Platz 4, Frankfurt, 60323, Germany","Consumer complaints; Explainable AI; Fair AI; Predictive analytics; Regulatory enforcement; Regulatory technology (RegTech)","Classification (of information); Automated monitoring; Consumer complaints; Data-source; Design features; Design Principles; Explainable AI; Fair AI; Regulatory enforcement; Regulatory technology; Technology application; Predictive analytics",,,,,,,,,,,"Siering, M.; Goethe University Frankfurt, Theodor-W.-Adorno-Platz 4, Germany; email: siering@wiwi.uni-frankfurt.de","Elsevier B.V.",01679236,,DSSYD,,"English","Decis Support Syst",Article,"Final","",Scopus,2-s2.0-85127476572
"Grassi L., Lanfranchi D., Faes A., Renga F.M.","57192656409;57220740599;57452602800;13907470900;","Do we still need financial intermediation? The case of decentralized finance – DeFi",2022,"Qualitative Research in Accounting and Management","19","3",,"323","347",,,"10.1108/QRAM-03-2021-0051","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124606339&doi=10.1108%2fQRAM-03-2021-0051&partnerID=40&md5=96105b1cb076d5d3ed0e7724b100ec9d","School of Management of Politecnico di Milano, Milan, Italy","Grassi, L., School of Management of Politecnico di Milano, Milan, Italy; Lanfranchi, D., School of Management of Politecnico di Milano, Milan, Italy; Faes, A., School of Management of Politecnico di Milano, Milan, Italy; Renga, F.M., School of Management of Politecnico di Milano, Milan, Italy","Algorithm; Bitcoin; Blockchain; Cryptocurrency; Decentralized finance; DeFi; Ethereum; Fintech; Human; Information asymmetry; Intermediation; Transaction costs",,"The authors would like to express gratitude to Marco Santoriello for his research assistance in an early version of this work, and to the participants of the focus groups for their valuable contribution.",,,,,,,,,,"Grassi, L.; School of Management of Politecnico di Milano, Milan, Italy; email: laura.grassi@polimi.it","Emerald Group Holdings Ltd.",11766093,,,,"English","Qual. Res. Account. Manage.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85124606339
