"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Kim, G.L.; Lim, J.D.; Kim, J.N.","Kim, Geonlyang (57213472683); Lim, Jaedeok (15061304800); Kim, Jeongnyeo (7601385883)","57213472683; 15061304800; 7601385883","Secure user authentication based on the trusted platform for mobile devices","2016","Eurasip Journal on Wireless Communications and Networking","2016","1","233","","","7","10.1186/s13638-016-0729-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989306661&doi=10.1186%2Fs13638-016-0729-7&partnerID=40&md5=499b2f1ec1ee8b3aef2fc756d2fe3522","Eurasip J. Wireless Commun. Networking","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-84989306661"
"Čižinská, R.; Krabec, T.; Venegas, P.","Čižinská, Romana (56260676200); Krabec, Tomáš (15731273600); Venegas, Percy (57191501230)","56260676200; 15731273600; 57191501230","FieldsRank: The Network Value of the Firm","2016","International Advances in Economic Research","22","4","","461","463","13","10.1007/s11294-016-9604-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991063661&doi=10.1007%2Fs11294-016-9604-x&partnerID=40&md5=225c75d0fdb838b67055b75d4b20ec22","Int. Adv. Econ. Res.","Article","Final","","Scopus","2-s2.0-84991063661"
"Maier, E.","Maier, Erik (55363235000)","55363235000","Supply and demand on crowdlending platforms: connecting small and medium-sized enterprise borrowers and consumer investors","2016","Journal of Retailing and Consumer Services","33","","","143","153","89","10.1016/j.jretconser.2016.08.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984799910&doi=10.1016%2Fj.jretconser.2016.08.004&partnerID=40&md5=be79c1846e92a3dcab4e8e1774d9f5d3","J. Retail. Consum. Serv.","Article","Final","","Scopus","2-s2.0-84984799910"
"Shen, Y.; Huang, Y.","Shen, Yan (56201968000); Huang, Yiping (55716988300)","56201968000; 55716988300","Introduction to the special issue: Internet finance in China","2016","China Economic Journal","9","3","","221","224","35","10.1080/17538963.2016.1215058","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988481323&doi=10.1080%2F17538963.2016.1215058&partnerID=40&md5=af5277986ca16b3bcaa7aeb743da8d16","China Econ. J.","Editorial","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-84988481323"
"Xie, P.; Zou, C.; Liu, H.","Xie, Ping (36838155900); Zou, Chuanwei (59884380800); Liu, Haier (57190864751)","36838155900; 59884380800; 57190864751","The fundamentals of internet finance and its policy implications in China","2016","China Economic Journal","9","3","","240","252","50","10.1080/17538963.2016.1210366","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983489046&doi=10.1080%2F17538963.2016.1210366&partnerID=40&md5=81a93490030463fd0191aba8d7592a4c","China Econ. J.","Article","Final","","Scopus","2-s2.0-84983489046"
"Stokkenes, M.; Ramachandra, R.; Busch, C.","Stokkenes, Martin (56453318200); Ramachandra, Raghavendra (57190835798); Busch, Christoph (7101767185)","56453318200; 57190835798; 7101767185","Biometric authentication protocols on smartphones - An overview","2016","ACM International Conference Proceeding Series","20-22-July-2016","","","136","140","17","10.1145/2947626.2951962","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983452151&doi=10.1145%2F2947626.2951962&partnerID=40&md5=602745c4aa607e1cfdcfdc39b0b5a6ca","ACM Int. Conf. Proc. Ser.","Conference paper","Final","","Scopus","2-s2.0-84983452151"
"Gurevich, Y.; Hudis, E.; Wing, J.M.","Gurevich, Yuri G. (7102231764); Hudis, Efim (57190072952); Wing, Jeannette M. (7102329155)","7102231764; 57190072952; 7102329155","Inverse privacy","2016","Communications of the ACM","59","7","","38","42","24","10.1145/2838730","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977160680&doi=10.1145%2F2838730&partnerID=40&md5=816aa2939f28ba1ca50e1b49a843ef36","Commun ACM","Note","Final","","Scopus","2-s2.0-84977160680"
"Oehler, A.; Horn, M.; Wendt, S.","Oehler, Andreas (59058428500); Horn, Matthias (57189574542); Wendt, Stefan (57160808400)","59058428500; 57189574542; 57160808400","Benefits from social trading? Empirical evidence for certificates on wikifolios","2016","International Review of Financial Analysis","46","","","202","210","39","10.1016/j.irfa.2016.05.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973154699&doi=10.1016%2Fj.irfa.2016.05.007&partnerID=40&md5=cab45516c563300435b37f6384ccc913","Int. Rev. Financ. Anal.","Article","Final","","Scopus","2-s2.0-84973154699"
"Marshall, M.; Kirk, D.S.; Vines, J.","Marshall, Matthew (57213506130); Kirk, David S. (27169862100); Vines, John (55247269700)","57213506130; 27169862100; 55247269700","Accountable: Exploring the inadequacies of transparent financial practice in the non-profit sector","2016","Conference on Human Factors in Computing Systems - Proceedings","","","","1620","1631","18","10.1145/2858036.2858301","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995976677&doi=10.1145%2F2858036.2858301&partnerID=40&md5=ea7d455010cb8693d31262191c8f5d6f","Conf Hum Fact Comput Syst Proc","Conference paper","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-84995976677"
"Susanto, A.; Chang, Y.; Ha, Y.","Susanto, Aries (55272758300); Chang, Younghoon (55557622800); Ha, Youngwook (7102444588)","55272758300; 55557622800; 7102444588","Determinants of continuance intention to use the smartphone banking services: An extension to the expectation-confirmation model","2016","Industrial Management and Data Systems","116","3","","508","525","354","10.1108/IMDS-05-2015-0195","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962446612&doi=10.1108%2FIMDS-05-2015-0195&partnerID=40&md5=d7796dc9c9c57166d1b8f8748ecc9604","Ind Manage Data Sys","Article","Final","","Scopus","2-s2.0-84962446612"
"Jun, J.; Yeo, E.","Jun, Jooyong (57189216030); Yeo, Eunjung (57189216771)","57189216030; 57189216771","Entry of FinTech Firms and Competition in the Retail Payments Market","2016","Asia-Pacific Journal of Financial Studies","45","2","","159","184","54","10.1111/ajfs.12126","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966339680&doi=10.1111%2Fajfs.12126&partnerID=40&md5=682080cb06fba058b496cea15d999363","Asia-Pac. J. Financ. Stud.","Article","Final","","Scopus","2-s2.0-84966339680"
"Chishti, S.; Barberis, J.","Chishti, Susanne (57192701330); Barberis, Janos N. (57192695507)","57192701330; 57192695507","Preface","2016","","","","","viii","ix","64","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011684826&partnerID=40&md5=f3fb29bffb3de53618de9b6bfa56e3a4","The FinTech Book: The Financial Technology Handb. for Investors, Entrepreneurs and Visionaries","Editorial","Final","","Scopus","2-s2.0-105011684826"
"Raghunathan, S.; Sarkar, S.","Raghunathan, Srinivasan (7006859044); Sarkar, Sumit (7403239069)","7006859044; 7403239069","Competitive bundling in information markets: A seller-side analysis","2016","MIS Quarterly: Management Information Systems","40","1","","111","132","23","10.25300/misq/2016/40.1.05","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961836690&doi=10.25300%2Fmisq%2F2016%2F40.1.05&partnerID=40&md5=e65a176d0321819b2246a73c10ae2943","MIS Quart Manage Inf Syst","Article","Final","","Scopus","2-s2.0-84961836690"
"Shim, Y.; Shin, D.-H.","Shim, Yongwoon (9133116700); Shin, Donghee (16242424900)","9133116700; 16242424900","Analyzing China's Fintech Industry from the Perspective of Actor-Network Theory","2016","Telecommunications Policy","40","2-3","","168","181","206","10.1016/j.telpol.2015.11.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959532055&doi=10.1016%2Fj.telpol.2015.11.005&partnerID=40&md5=5b7b55834e783c8264f9e2c83f826644","Telecommun Policy","Article","Final","","Scopus","2-s2.0-84959532055"
